id,trackable_type,trackable_id,owner_type,owner_id,key,parameters,recipient_type,recipient_id,created_at,updated_at
9196,Task,13713,User,279,attestation.submitted,,Matter,1002,2017-04-06 12:55:21.42166,2017-04-07 10:56:03.149595
9197,Attestation,48,User,767,attestation.submitted,,Policy,1,2017-04-06 12:59:32.971711,2017-04-07 10:56:03.193653
9198,Task,13615,User,767,attestation.submitted,,Matter,1002,2017-04-06 12:59:32.971711,2017-04-07 10:56:03.274738
9934,Task,13798,ApplicationUser,4,task.assigned_to,,User,271,2017-04-05 22:46:47.581719,2017-04-07 10:56:33.055057
9199,Attestation,49,User,209,attestation.submitted,,Policy,1,2017-04-06 13:03:46.503771,2017-04-07 10:56:03.31617
9200,Task,13776,User,209,attestation.submitted,,Matter,1002,2017-04-06 13:03:46.503771,2017-04-07 10:56:03.396111
10570,Task,13585,User,6311,policy_attestation.update,,,,2017-04-23 23:52:17.142758,2017-04-23 23:52:17.142758
10571,Task,13763,User,1278,policy_attestation.update,,,,2017-04-23 23:52:29.381985,2017-04-23 23:52:29.381985
10572,Task,13818,User,93,policy_attestation.update,,,,2017-04-23 23:52:40.427019,2017-04-23 23:52:40.427019
10573,Task,13783,User,122,policy_attestation.update,,,,2017-04-23 23:52:52.18977,2017-04-23 23:52:52.18977
10574,Task,13643,User,526,policy_attestation.update,,,,2017-04-23 23:53:04.673241,2017-04-23 23:53:04.673241
9201,Attestation,50,User,225,attestation.submitted,,Policy,1,2017-04-06 13:06:24.02392,2017-04-07 10:56:03.437987
10575,Task,13781,User,1285,policy_attestation.update,,,,2017-04-23 23:53:15.729286,2017-04-23 23:53:15.729286
10576,Task,13513,User,13557,policy_attestation.update,,,,2017-04-23 23:53:26.121668,2017-04-23 23:53:26.121668
9202,Task,13594,User,225,attestation.submitted,,Matter,1002,2017-04-06 13:06:24.02392,2017-04-07 10:56:03.518542
10577,Task,13506,User,802,policy_attestation.update,,,,2017-04-23 23:53:36.381918,2017-04-23 23:53:36.381918
10578,Task,13617,User,790,policy_attestation.update,,,,2017-04-23 23:53:48.432957,2017-04-23 23:53:48.432957
10579,Task,13563,User,544,policy_attestation.update,,,,2017-04-23 23:53:58.771285,2017-04-23 23:53:58.771285
10580,Task,13715,User,443,policy_attestation.update,,,,2017-04-23 23:54:08.962466,2017-04-23 23:54:08.962466
9203,Attestation,51,User,665,attestation.submitted,,Policy,1,2017-04-06 13:11:36.261844,2017-04-07 10:56:03.559904
10581,Task,13730,User,8403,policy_attestation.update,,,,2017-04-23 23:54:19.215709,2017-04-23 23:54:19.215709
10582,Task,13733,User,387,policy_attestation.update,,,,2017-04-23 23:54:30.36785,2017-04-23 23:54:30.36785
9204,Task,13524,User,665,attestation.submitted,,Matter,1002,2017-04-06 13:11:36.261844,2017-04-07 10:56:03.639596
10583,Task,13504,User,727,policy_attestation.update,,,,2017-04-23 23:54:41.657128,2017-04-23 23:54:41.657128
9205,Attestation,52,User,502,attestation.submitted,,Policy,1,2017-04-06 13:20:51.568915,2017-04-07 10:56:03.680223
10584,Task,13723,User,113,policy_attestation.update,,,,2017-04-23 23:54:51.740201,2017-04-23 23:54:51.740201
10585,Task,13803,User,711,policy_attestation.update,,,,2017-04-23 23:55:02.982432,2017-04-23 23:55:02.982432
10586,Task,13604,User,365,policy_attestation.update,,,,2017-04-23 23:55:13.552992,2017-04-23 23:55:13.552992
10587,Task,13558,User,20637,policy_attestation.update,,,,2017-04-23 23:55:25.318295,2017-04-23 23:55:25.318295
9206,Task,13701,User,502,attestation.submitted,,Matter,1002,2017-04-06 13:20:51.568915,2017-04-07 10:56:03.760805
9207,Attestation,53,User,639,attestation.submitted,,Policy,1,2017-04-06 13:24:29.968073,2017-04-07 10:56:03.801054
10588,Task,13778,User,17947,policy_attestation.update,,,,2017-04-23 23:55:36.013571,2017-04-23 23:55:36.013571
10589,Task,13631,User,4081,policy_attestation.update,,,,2017-04-23 23:55:48.335498,2017-04-23 23:55:48.335498
10590,Task,13511,User,419,policy_attestation.update,,,,2017-04-23 23:56:01.690838,2017-04-23 23:56:01.690838
10591,Task,13793,User,326,policy_attestation.update,,,,2017-04-23 23:56:12.902321,2017-04-23 23:56:12.902321
9208,Task,13626,User,639,attestation.submitted,,Matter,1002,2017-04-06 13:24:29.968073,2017-04-07 10:56:03.881091
9209,Attestation,54,User,17140,attestation.submitted,,Policy,1,2017-04-06 13:29:50.712455,2017-04-07 10:56:03.922013
10592,Task,13630,User,593,policy_attestation.update,,,,2017-04-23 23:56:22.90332,2017-04-23 23:56:22.90332
10593,Task,13678,User,659,policy_attestation.update,,,,2017-04-23 23:56:32.973346,2017-04-23 23:56:32.973346
10594,Task,13663,User,357,policy_attestation.update,,,,2017-04-23 23:56:43.172424,2017-04-23 23:56:43.172424
10595,Task,13649,User,597,policy_attestation.update,,,,2017-04-23 23:56:53.479545,2017-04-23 23:56:53.479545
9210,Task,13601,User,17140,attestation.submitted,,Matter,1002,2017-04-06 13:29:50.712455,2017-04-07 10:56:04.003717
10596,Task,13539,User,162,policy_attestation.update,,,,2017-04-23 23:57:04.422921,2017-04-23 23:57:04.422921
9211,Attestation,55,User,672,attestation.submitted,,Policy,1,2017-04-06 13:35:01.238015,2017-04-07 10:56:04.044555
10597,Task,13741,User,772,policy_attestation.update,,,,2017-04-23 23:57:14.960134,2017-04-23 23:57:14.960134
10598,Task,13619,User,719,policy_attestation.update,,,,2017-04-23 23:57:27.815274,2017-04-23 23:57:27.815274
10599,Task,13680,User,210,policy_attestation.update,,,,2017-04-23 23:57:40.139202,2017-04-23 23:57:40.139202
10600,Task,13679,User,12173,policy_attestation.update,,,,2017-04-23 23:57:52.821272,2017-04-23 23:57:52.821272
9217,Attestation,58,User,13606,attestation.submitted,,Policy,1,2017-04-06 13:51:55.053281,2017-04-07 10:56:04.412662
9213,Attestation,56,User,672,attestation.submitted,,Policy,1,2017-04-06 13:35:03.887684,2017-04-07 10:56:04.166245
9214,Task,13724,User,672,attestation.submitted,,Matter,1002,2017-04-07 10:56:04.240549,2017-04-07 10:56:04.240549
10601,Task,13606,User,12510,policy_attestation.update,,,,2017-04-23 23:58:04.502943,2017-04-23 23:58:04.502943
10602,Task,13669,User,472,policy_attestation.update,,,,2017-04-23 23:58:15.768448,2017-04-23 23:58:15.768448
9212,Task,13724,User,672,attestation.submitted,,Matter,1002,2017-04-06 13:35:03.887684,2017-04-07 10:56:04.249541
10603,Task,13566,User,666,policy_attestation.update,,,,2017-04-23 23:58:26.234632,2017-04-23 23:58:26.234632
10604,Task,13691,User,37,policy_attestation.update,,,,2017-04-23 23:58:36.971926,2017-04-23 23:58:36.971926
9215,Attestation,57,User,677,attestation.submitted,,Policy,1,2017-04-06 13:50:14.255959,2017-04-07 10:56:04.289801
10605,Task,13514,User,15079,policy_attestation.update,,,,2017-04-23 23:58:49.093772,2017-04-23 23:58:49.093772
10606,Task,13684,User,442,policy_attestation.update,,,,2017-04-23 23:58:59.331866,2017-04-23 23:58:59.331866
9216,Task,13564,User,677,attestation.submitted,,Matter,1002,2017-04-06 13:50:14.255959,2017-04-07 10:56:04.369964
10607,Task,13705,User,306,policy_attestation.update,,,,2017-04-23 23:59:09.300852,2017-04-23 23:59:09.300852
9218,Task,13625,User,13606,attestation.submitted,,Matter,1002,2017-04-06 13:51:55.053281,2017-04-07 10:56:04.49547
9219,Attestation,59,User,8599,attestation.submitted,,Policy,1,2017-04-06 14:06:18.925265,2017-04-07 10:56:04.536641
9220,Task,13712,User,8599,attestation.submitted,,Matter,1002,2017-04-06 14:06:18.925265,2017-04-07 10:56:04.621289
9221,Attestation,60,User,256,attestation.submitted,,Policy,1,2017-04-06 14:18:39.789485,2017-04-07 10:56:04.661532
9222,Task,13750,User,256,attestation.submitted,,Matter,1002,2017-04-06 14:18:39.789485,2017-04-07 10:56:04.743588
9223,Attestation,61,User,1355,attestation.submitted,,Policy,1,2017-04-06 15:03:25.170175,2017-04-07 10:56:04.785161
9224,Task,13812,User,1355,attestation.submitted,,Matter,1002,2017-04-06 15:03:25.170175,2017-04-07 10:56:04.866507
9225,Attestation,62,User,800,attestation.submitted,,Policy,1,2017-04-06 15:07:47.944252,2017-04-07 10:56:04.908095
9935,AttestationRequirement,604,ApplicationUser,4,attestation_requirement.assigned_to,,User,562,2017-04-05 22:46:48.983859,2017-04-07 10:56:33.113545
9226,Task,13565,User,800,attestation.submitted,,Matter,1002,2017-04-06 15:07:47.944252,2017-04-07 10:56:04.992994
9936,Task,13577,ApplicationUser,4,task.assigned_to,,User,562,2017-04-07 10:56:33.12011,2017-04-07 10:56:33.12011
