id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
1,1.03,Bunge Limited,Consolidate,H,100.0,USD,103,0103_Tax_B ungeLtd,2017-02-20 17:36:51.601071,2017-02-20 17:36:51.601071,bungelimited,,
2,1.06,Ceval Holdings Ltd.,Consolidate,H,100.0,USD,106,106,2017-02-20 17:36:51.927103,2017-02-20 17:36:51.927103,cevalholdingsltd,,
3,1.02,"Greenleaf, Ltd.",Consolidate,H,100.0,USD,102,102,2017-02-20 17:36:52.279139,2017-02-20 17:36:52.279139,greenleafltd,,
4,1.05,Bunge Finance Limited,Consolidate,F,100.0,USD,105,105,2017-02-20 17:36:52.613172,2017-02-20 17:36:52.613172,bungefinancelimited,,
5,1.09,Serrana Holdings Limited,Consolidate,H,100.0,USD,109,109,2017-02-20 17:36:52.936204,2017-02-20 17:36:52.936204,serranaholdingslimited,,
6,1.1,"Bunge Global Markets, Ltd.",Consolidate,O,100.0,USD,Various,0110_Tax,2017-02-20 17:36:53.271238,2017-02-20 17:36:53.271238,bungeglobalmarketsltd,,
7,1.13,Brunello Ltd.,Consolidate,H,100.0,USD,113,113,2017-02-20 17:36:53.598271,2017-02-20 17:36:53.598271,brunelloltd,,
8,1.14,"Bunge Alpha, Ltd.",Consolidate,O,100.0,USD,114,114,2017-02-20 17:36:53.935304,2017-02-20 17:36:53.935304,bungealphaltd,,
9,1.16,Bunge Central America Ltd.,Consolidate,O,70.0,USD,Various,0116_Tax,2017-02-20 17:36:54.263337,2017-02-20 17:36:54.263337,bungecentralamericaltd,,
10,1.17,International Produce Ltd.,Consolidate,O,100.0,USD,N/A,N/A,2017-02-20 17:36:54.606371,2017-02-20 17:36:54.606371,internationalproduceltd,,
11,1.18,Bunge Ventures Ltd,Consolidate,O,100.0,USD,1121801,1121801,2017-02-20 17:36:54.933404,2017-02-20 17:36:54.933404,bungeventuresltd,,
12,4.08,Bunge Trade Ltd.,Consolidate,F,100.0,USD,408,408,2017-02-20 17:36:55.258437,2017-02-20 17:36:55.258437,bungetradeltd,,
13,4.07,Bunge International Commerce Ltd.,Consolidate,O,100.0,BRL,Various,0407_Tax_L C / 2317_Tax_L C,2017-02-20 17:36:55.599471,2017-02-20 17:36:55.599471,bungeinternationalcommerceltd,,
14,4.1,CCC Carbon Fund II Limited Partnership,Consolidate,O,100.0,EUR,4081801,4081801,2017-02-20 17:36:55.919503,2017-02-20 17:36:55.919503,ccccarbonfundiilimitedpartnership,,
