id,name,created_at,updated_at
1,BUSINESS_UNIT,2017-02-20 17:48:34.375341,2017-02-20 17:48:34.375341
2,656,2017-02-20 17:48:34.723376,2017-02-20 17:48:34.723376
3,664,2017-02-20 17:48:35.05941,2017-02-20 17:48:35.05941
4,665,2017-02-20 17:48:35.375441,2017-02-20 17:48:35.375441
5,Agribusiness,2017-02-20 17:48:35.699474,2017-02-20 17:48:35.699474
6,Agribusiness - Feed,2017-02-20 17:48:36.018506,2017-02-20 17:48:36.018506
7,Bioenergy,2017-02-20 17:48:36.346538,2017-02-20 17:48:36.346538
8,Corn Milling,2017-02-20 17:48:36.672571,2017-02-20 17:48:36.672571
9,Corporate Support,2017-02-20 17:48:36.996603,2017-02-20 17:48:36.996603
10,Edible Oils,2017-02-20 17:48:37.323636,2017-02-20 17:48:37.323636
11,Energy and Biodiesel,2017-02-20 17:48:37.652669,2017-02-20 17:48:37.652669
12,Feed Milling,2017-02-20 17:48:37.973701,2017-02-20 17:48:37.973701
13,Financial Services Group,2017-02-20 17:48:38.308735,2017-02-20 17:48:38.308735
14,General Management,2017-02-20 17:48:38.628767,2017-02-20 17:48:38.628767
15,Grain Origination,2017-02-20 17:48:38.952799,2017-02-20 17:48:38.952799
16,Ingredients and Other,2017-02-20 17:48:39.292833,2017-02-20 17:48:39.292833
17,Margarine and Mayo,2017-02-20 17:48:39.610865,2017-02-20 17:48:39.610865
18,NO_BUSINESS_UNIT,2017-02-20 17:48:39.943898,2017-02-20 17:48:39.943898
19,Not Indicated,2017-02-20 17:48:40.269931,2017-02-20 17:48:40.269931
20,Ocean Freight,2017-02-20 17:48:40.609965,2017-02-20 17:48:40.609965
21,Oilseed Processing,2017-02-20 17:48:40.966,2017-02-20 17:48:40.966
22,Other Administrative,2017-02-20 17:48:41.300034,2017-02-20 17:48:41.300034
23,Ports and Services,2017-02-20 17:48:41.625066,2017-02-20 17:48:41.625066
24,Retail,2017-02-20 17:48:41.955099,2017-02-20 17:48:41.955099
25,Sugar Industrial,2017-02-20 17:48:42.285132,2017-02-20 17:48:42.285132
26,Sugar Trading,2017-02-20 17:48:42.604164,2017-02-20 17:48:42.604164
27,Support,2017-02-20 17:48:42.934197,2017-02-20 17:48:42.934197
28,Trading and Distribution,2017-02-20 17:48:43.277231,2017-02-20 17:48:43.277231
29,Wheat Milling,2017-02-20 17:48:43.616265,2017-02-20 17:48:43.616265
