id,regulator_id,section_reference,section,section_link,subsection,rule_reference,name,rule_link,created_at,updated_at
1,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.31,Books and records; keeping and inspection.,https://www.law.cornell.edu/cfr/text/17/1.31,2016-09-06 18:07:01.211022,2016-09-06 18:07:01.211022
2,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.33,Monthly and confirmation statements.,https://www.law.cornell.edu/cfr/text/17/1.33,2016-09-06 18:07:01.265028,2016-09-06 18:07:01.265028
3,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.34,"Monthly record, “point balance”.",https://www.law.cornell.edu/cfr/text/17/1.34,2016-09-06 18:07:01.330034,2016-09-06 18:07:01.330034
4,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.35,Records of commodity interest and related cash or forward transactions.,https://www.law.cornell.edu/cfr/text/17/1.35,2016-09-06 18:07:01.399041,2016-09-06 18:07:01.399041
5,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.38,Execution of transactions.,https://www.law.cornell.edu/cfr/text/17/1.38,2016-09-06 18:07:01.416043,2016-09-06 18:07:01.416043
6,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.39,"Simultaneous buying and selling orders of different principals; execution of, for and between principals.",https://www.law.cornell.edu/cfr/text/17/1.39,2016-09-06 18:07:01.436045,2016-09-06 18:07:01.436045
7,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Miscellaneous,1.40,"Crop, market information letters, reports; copies required.",https://www.law.cornell.edu/cfr/text/17/1.40,2016-09-06 18:07:01.454046,2016-09-06 18:07:01.454046
8,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Miscellaneous,1.46,Application and closing out of offsetting long and short positions.,https://www.law.cornell.edu/cfr/text/17/1.46,2016-09-06 18:07:01.472048,2016-09-06 18:07:01.472048
9,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Miscellaneous,1.2,Liability of principal for act of agent.,https://www.law.cornell.edu/cfr/text/17/1.2,2016-09-06 18:07:01.494050,2016-09-06 18:07:01.494050
10,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Recordkeeping,1.3,Definitions.,https://www.law.cornell.edu/cfr/text/17/1.3,2016-09-06 18:07:01.513052,2016-09-06 18:07:01.513052
11,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Miscellaneous,1.4,"Electronic signatures, acknowledgments and verifications.",https://www.law.cornell.edu/cfr/text/17/1.4,2016-09-06 18:07:01.531054,2016-09-06 18:07:01.531054
12,1,PART 1,GENERAL REGULATIONS UNDER THE COMMODITY EXCHANGE ACT (§§ 1.1 - 1.75),https://www.law.cornell.edu/cfr/text/17/part-1,Anti-evasion,1.6,Anti-evasion.,https://www.law.cornell.edu/cfr/text/17/1.6,2016-09-06 18:07:01.551056,2016-09-06 18:07:01.551056
13,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.00,"Definitions of terms used in parts 15 to 19, and 21 of this chapter.",https://www.law.cornell.edu/cfr/text/17/15.00,2016-09-06 18:07:01.568058,2016-09-06 18:07:01.568058
14,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.01,Persons required to report.,https://www.law.cornell.edu/cfr/text/17/15.01,2016-09-06 18:07:01.588060,2016-09-06 18:07:01.588060
15,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.02,Reporting forms.,https://www.law.cornell.edu/cfr/text/17/15.02,2016-09-06 18:07:01.611062,2016-09-06 18:07:01.611062
16,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.03,Reporting levels.,https://www.law.cornell.edu/cfr/text/17/15.03,2016-09-06 18:07:01.630064,2016-09-06 18:07:01.630064
17,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.04,Reportable trading volume level.,https://www.law.cornell.edu/cfr/text/17/15.04,2016-09-06 18:07:01.647066,2016-09-06 18:07:01.647066
18,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.05,Designation of agent for foreign persons.,https://www.law.cornell.edu/cfr/text/17/15.05,2016-09-06 18:07:01.665068,2016-09-06 18:07:01.665068
19,1,PART 15,REPORTS—GENERAL PROVISIONS (§§ 15.00 - 15.06),https://www.law.cornell.edu/cfr/text/17/part-15,Reporting,15.06,Delegations.,https://www.law.cornell.edu/cfr/text/17/15.06,2016-09-06 18:07:01.680069,2016-09-06 18:07:01.680069
20,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.1,Definitions.,https://www.law.cornell.edu/cfr/text/17/150.1,2016-09-06 18:07:01.701071,2016-09-06 18:07:01.701071
21,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.2,Position limits.,https://www.law.cornell.edu/cfr/text/17/150.2,2016-09-06 18:07:01.720073,2016-09-06 18:07:01.720073
22,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.3,Exemptions.,https://www.law.cornell.edu/cfr/text/17/150.3,2016-09-06 18:07:01.739075,2016-09-06 18:07:01.739075
23,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.4,Aggregation of positions.,https://www.law.cornell.edu/cfr/text/17/150.4,2016-09-06 18:07:01.755077,2016-09-06 18:07:01.755077
24,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.5,Exchange-set speculative position limits.,https://www.law.cornell.edu/cfr/text/17/150.5,2016-09-06 18:07:01.771078,2016-09-06 18:07:01.771078
25,1,PART 150,LIMITS ON POSITIONS (§§ 150.1 - 150.6),https://www.law.cornell.edu/cfr/text/17/part-150,Position Limits,150.6,Responsibility of contract markets.,https://www.law.cornell.edu/cfr/text/17/150.6,2016-09-06 18:07:01.787080,2016-09-06 18:07:01.787080
26,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.1,Definitions.,https://www.law.cornell.edu/cfr/text/17/151.1,2016-09-06 18:07:01.803081,2016-09-06 18:07:01.803081
27,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.2,Core Referenced Futures Contracts.,https://www.law.cornell.edu/cfr/text/17/151.2,2016-09-06 18:07:01.819083,2016-09-06 18:07:01.819083
28,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.3,Spot months for Referenced Contracts.,https://www.law.cornell.edu/cfr/text/17/151.3,2016-09-06 18:07:01.842085,2016-09-06 18:07:01.842085
29,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.4,Position limits for Referenced Contracts.,https://www.law.cornell.edu/cfr/text/17/151.4,2016-09-06 18:07:01.859087,2016-09-06 18:07:01.859087
30,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.5,Bona fide hedging and other exemptions for Referenced Contracts.,https://www.law.cornell.edu/cfr/text/17/151.5,2016-09-06 18:07:01.883089,2016-09-06 18:07:01.883089
31,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.6,Position visibility.,https://www.law.cornell.edu/cfr/text/17/151.6,2016-09-06 18:07:01.899091,2016-09-06 18:07:01.899091
32,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.7,Aggregation of positions.,https://www.law.cornell.edu/cfr/text/17/151.7,2016-09-06 18:07:01.919093,2016-09-06 18:07:01.919093
33,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.8,Foreign boards of trade.,https://www.law.cornell.edu/cfr/text/17/151.8,2016-09-06 18:07:01.934094,2016-09-06 18:07:01.934094
34,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.9,Pre-existing positions.,https://www.law.cornell.edu/cfr/text/17/151.9,2016-09-06 18:07:01.958097,2016-09-06 18:07:01.958097
35,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.10,Form and manner of reporting and submitting information or filings.,https://www.law.cornell.edu/cfr/text/17/151.10,2016-09-06 18:07:01.980099,2016-09-06 18:07:01.980099
36,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.11,Designated contract market and swap execution facility position limits and accountability rules.,https://www.law.cornell.edu/cfr/text/17/151.11,2016-09-06 18:07:02.004101,2016-09-06 18:07:02.004101
37,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.12,Delegation of authority to the Director of the Division of Market Oversight.,https://www.law.cornell.edu/cfr/text/17/151.12,2016-09-06 18:07:02.025104,2016-09-06 18:07:02.025104
38,1,PART 151,POSITION LIMITS FOR FUTURES AND SWAPS (§§ 151.1 - 151.13),https://www.law.cornell.edu/cfr/text/17/part-151,Position Limits,151.13,Severability.,https://www.law.cornell.edu/cfr/text/17/151.13,2016-09-06 18:07:02.045106,2016-09-06 18:07:02.045106
39,1,PART 155,TRADING STANDARDS (§§ 155.1 - 155.10),https://www.law.cornell.edu/cfr/text/17/part-155,Trading Practices,155.1,Definitions.,https://www.law.cornell.edu/cfr/text/17/155.1,2016-09-06 18:07:02.067108,2016-09-06 18:07:02.067108
40,1,PART 155,TRADING STANDARDS (§§ 155.1 - 155.10),https://www.law.cornell.edu/cfr/text/17/part-155,Trading Practices,155.2,Trading standards for floor brokers.,https://www.law.cornell.edu/cfr/text/17/155.2,2016-09-06 18:07:02.091110,2016-09-06 18:07:02.091110
41,1,PART 155,TRADING STANDARDS (§§ 155.1 - 155.10),https://www.law.cornell.edu/cfr/text/17/part-155,Trading Practices,155.10,Exemptions.,https://www.law.cornell.edu/cfr/text/17/155.10,2016-09-06 18:07:02.109112,2016-09-06 18:07:02.109112
42,1,PART 17,"REPORTS BY REPORTING MARKETS, FUTURES COMMISSION MERCHANTS, CLEARING MEMBERS, AND FOREIGN BROKERS (§§ 17.00 - 17.04)",https://www.law.cornell.edu/cfr/text/17/part-17,Reporting,17.00,"Information to be furnished by futures commission merchants, clearing members and foreign brokers.",https://www.law.cornell.edu/cfr/text/17/17.00,2016-09-06 18:07:02.129114,2016-09-06 18:07:02.129114
43,1,PART 17,"REPORTS BY REPORTING MARKETS, FUTURES COMMISSION MERCHANTS, CLEARING MEMBERS, AND FOREIGN BROKERS (§§ 17.00 - 17.04)",https://www.law.cornell.edu/cfr/text/17/part-17,Reporting,17.01,"Identification of special accounts, volume threshold accounts, and omnibus accounts.",https://www.law.cornell.edu/cfr/text/17/17.01,2016-09-06 18:07:02.149116,2016-09-06 18:07:02.149116
