id,training_session_id,user_id,created_at,updated_at
1,1,34,56:54.3,56:54.3
2,1,35,56:54.6,56:54.6
3,18,50,56:54.8,56:54.8
4,18,62,56:55.0,56:55.0
5,49,67,56:55.3,56:55.3
6,18,142,56:55.5,56:55.5
7,18,154,56:55.8,56:55.8
8,18,160,56:56.1,56:56.1
9,49,178,56:56.3,56:56.3
10,1,185,56:56.5,56:56.5
11,18,187,56:56.8,56:56.8
12,1,230,56:57.0,56:57.0
13,1,261,56:57.3,56:57.3
14,18,287,56:57.5,56:57.5
15,1,311,56:57.8,56:57.8
16,49,388,56:58.0,56:58.0
17,1,449,56:58.3,56:58.3
18,49,486,56:58.5,56:58.5
19,49,525,56:58.8,56:58.8
20,1,528,56:59.0,56:59.0
21,18,538,56:59.3,56:59.3
22,49,556,56:59.5,56:59.5
23,1,586,56:59.8,56:59.8
24,49,595,57:00.0,57:00.0
25,49,612,57:00.4,57:00.4
26,49,619,57:00.6,57:00.6
27,49,623,57:00.9,57:00.9
28,49,790,57:01.1,57:01.1
29,16,10,57:01.4,57:01.4
30,19,62,57:01.6,57:01.6
31,41,483,57:01.9,57:01.9
32,15,85,57:02.1,57:02.1
33,19,91,57:02.4,57:02.4
34,19,142,57:02.7,57:02.7
35,19,154,57:02.9,57:02.9
36,19,160,57:03.2,57:03.2
37,19,187,57:03.4,57:03.4
38,15,190,57:03.7,57:03.7
39,15,317,57:03.9,57:03.9
40,16,360,57:04.1,57:04.1
41,16,372,57:04.4,57:04.4
42,15,429,57:04.6,57:04.6
43,16,532,57:04.9,57:04.9
44,19,538,57:05.1,57:05.1
45,16,691,57:05.4,57:05.4
46,16,698,57:05.6,57:05.6
47,15,708,57:05.8,57:05.8
48,16,730,57:06.1,57:06.1
49,2,33,57:06.3,57:06.3
50,27,70,57:06.6,57:06.6
51,26,110,57:06.8,57:06.8
52,27,134,57:07.1,57:07.1
53,27,217,57:07.3,57:07.3
54,26,253,57:07.6,57:07.6
55,17,347,57:07.8,57:07.8
56,17,360,57:08.1,57:08.1
57,17,361,57:08.3,57:08.3
58,26,464,57:08.6,57:08.6
59,2,521,57:08.8,57:08.8
60,26,522,57:09.1,57:09.1
61,17,532,57:09.3,57:09.3
62,27,563,57:09.5,57:09.5
63,27,580,57:09.8,57:09.8
64,17,691,57:10.0,57:10.0
65,17,730,57:10.3,57:10.3
66,27,767,57:10.5,57:10.5
67,46,515,57:10.8,57:10.8
68,46,559,57:11.0,57:11.0
69,46,561,57:11.3,57:11.3
70,46,704,57:11.5,57:11.5
71,21,50,57:11.7,57:11.7
72,21,62,57:12.0,57:12.0
73,10,148,57:12.2,57:12.2
74,10,186,57:12.5,57:12.5
75,29,326,57:12.7,57:12.7
76,52,333,57:13.0,57:13.0
77,10,352,57:13.2,57:13.2
78,10,402,57:13.5,57:13.5
79,20,465,57:13.7,57:13.7
80,10,480,57:14.0,57:14.0
81,10,513,57:14.2,57:14.2
82,20,538,57:14.4,57:14.4
83,10,550,57:14.7,57:14.7
84,10,567,57:14.9,57:14.9
85,10,590,57:15.2,57:15.2
86,10,613,57:15.4,57:15.4
87,9,624,57:15.7,57:15.7
88,20,733,57:15.9,57:15.9
89,20,741,57:16.2,57:16.2
90,29,767,57:16.4,57:16.4
91,56,78,57:16.6,57:16.6
92,56,306,57:16.9,57:16.9
93,56,406,57:17.2,57:17.2
94,56,544,57:17.4,57:17.4
95,56,632,57:17.6,57:17.6
96,56,29,57:17.9,57:17.9
97,56,75,57:18.1,57:18.1
98,56,549,57:18.4,57:18.4
99,56,433,57:18.6,57:18.6
100,56,375,57:18.9,57:18.9
101,56,162,57:19.1,57:19.1
102,56,77,57:19.4,57:19.4
103,56,357,57:19.6,57:19.6
104,55,165,57:19.8,57:19.8
105,55,158,57:20.1,57:20.1
106,55,607,57:20.3,57:20.3
107,55,587,57:20.6,57:20.6
108,55,769,57:20.8,57:20.8
109,55,410,57:21.0,57:21.0
110,55,597,57:21.3,57:21.3
111,55,342,57:21.5,57:21.5
112,55,268,57:21.8,57:21.8
113,55,677,57:22.0,57:22.0
114,55,455,57:22.3,57:22.3
115,55,378,57:22.5,57:22.5
116,55,403,57:22.8,57:22.8
117,55,318,57:23.0,57:23.0
118,55,69,57:23.2,57:23.2
119,55,638,57:23.5,57:23.5
120,52,654,57:23.7,57:23.7
121,52,427,57:24.0,57:24.0
122,52,689,57:24.3,57:24.3
123,52,496,57:24.5,57:24.5
124,52,319,57:24.8,57:24.8
125,52,241,57:25.0,57:25.0
126,52,472,57:25.2,57:25.2
127,52,198,57:25.5,57:25.5
128,52,692,57:25.7,57:25.7
129,52,80,57:26.0,57:26.0
130,52,630,57:26.2,57:26.2
131,52,104,57:26.5,57:26.5
132,52,772,57:26.7,57:26.7
133,53,523,57:26.9,57:26.9
134,53,303,57:27.2,57:27.2
135,54,495,57:27.4,57:27.4
136,54,92,57:27.7,57:27.7
137,54,437,57:27.9,57:27.9
138,54,381,57:28.2,57:28.2
139,54,367,57:28.4,57:28.4
140,54,204,57:28.6,57:28.6
141,54,411,57:28.9,57:28.9
142,54,233,57:29.1,57:29.1
143,54,325,57:29.4,57:29.4
144,54,674,57:29.6,57:29.6
145,54,275,57:29.9,57:29.9
146,54,302,57:30.2,57:30.2
147,54,225,57:30.4,57:30.4
148,54,592,57:30.7,57:30.7
149,57,11278,57:30.9,57:30.9
150,57,520,57:31.2,57:31.2
151,57,235,57:31.4,57:31.4
152,57,9661,57:31.7,57:31.7
153,57,11687,57:31.9,57:31.9
154,57,6317,57:32.1,57:32.1
155,57,3175,57:32.4,57:32.4
156,57,12252,57:32.6,57:32.6
157,57,4068,57:32.9,57:32.9
158,57,277,57:33.1,57:33.1
159,57,2072,57:33.4,57:33.4
160,57,6011,57:33.6,57:33.6
161,57,1195,57:33.9,57:33.9
162,57,8496,57:34.1,57:34.1
163,58,815,57:34.4,57:34.4
164,58,106,57:34.6,57:34.6
165,58,817,57:34.8,57:34.8
166,58,13718,57:35.1,57:35.1
167,58,533,57:35.3,57:35.3
168,58,12499,57:35.6,57:35.6
169,58,384,57:35.8,57:35.8
170,58,197,57:36.1,57:36.1
171,58,822,57:36.3,57:36.3
172,58,212,57:36.5,57:36.5
173,58,9669,57:36.8,57:36.8
174,59,134,57:37.1,57:37.1
175,59,456,57:37.3,57:37.3
176,59,419,57:37.5,57:37.5
177,59,163,57:37.8,57:37.8
178,59,820,57:38.0,57:38.0
179,59,529,57:38.3,57:38.3
180,59,713,57:38.5,57:38.5
181,59,436,57:38.8,57:38.8
182,59,2324,57:39.0,57:39.0
183,60,686,57:39.4,57:39.4
184,60,393,57:39.7,57:39.7
185,60,626,57:39.9,57:39.9
186,60,135,57:40.2,57:40.2
187,60,289,57:40.4,57:40.4
188,60,787,57:40.7,57:40.7
189,60,519,57:40.9,57:40.9
190,60,552,57:41.2,57:41.2
191,61,346,57:41.4,57:41.4
192,61,331,57:41.6,57:41.6
193,61,7592,57:41.9,57:41.9
194,61,141,57:42.1,57:42.1
195,61,170,57:42.4,57:42.4
196,61,785,57:42.6,57:42.6
197,61,534,57:42.9,57:42.9
198,61,3288,57:43.1,57:43.1
199,61,124,57:43.4,57:43.4
200,61,228,57:43.6,57:43.6
201,62,616,57:43.8,57:43.8
202,62,814,57:44.1,57:44.1
203,62,816,57:44.3,57:44.3
204,62,7584,57:44.6,57:44.6
205,62,823,57:44.8,57:44.8
206,62,11177,57:45.1,57:45.1
207,62,6396,57:45.3,57:45.3
